Model,Type,AMJ,MJJ,JJA,JAS,ASO,SON,OND,NDJ,DJF
AUS-ACCESS,Dynamical,1,1.4,1.8,2.17,,,,,
BCC_CSM11m,Dynamical,0.49,0.96,1.4,1.68,1.81,1.85,1.84,1.8,1.74
CMC CANSIP,Dynamical,0.43,0.77,1.1,1.32,1.44,1.52,1.62,1.69,1.73
COLA CCSM4,Dynamical,0.51,0.75,1.02,1.22,1.35,1.43,1.53,1.63,1.65
CS-IRI-MM,Dynamical,0.42,0.76,1.05,1.24,1.47,1.59,,,
DWD,Dynamical,-0.05,0.17,0.4,0.58,,,,,
ECMWF,Dynamical,0.61,0.98,1.31,1.57,1.78,,,,
GFDL SPEAR,Dynamical,0.49,0.92,1.27,1.45,1.52,1.61,1.78,1.94,2.01
IOCAS ICM,Dynamical,0.2,0.31,0.52,0.7,0.79,0.79,0.75,0.7,0.65
JMA,Dynamical,0.35,0.55,0.77,1.02,1.28,,,,
KMA,Dynamical,0.71,1.12,1.51,1.81,1.41,,,,
LDEO,Dynamical,0.2,0.44,0.7,0.89,1.02,1.14,1.2,1.02,0.42
MetFRANCE,Dynamical,0.38,0.66,0.94,1.15,1.28,,,,
NASA GMAO,Dynamical,0.55,0.88,1.16,1.26,1.31,1.42,1.59,,
NCEP CFSv2,Dynamical,0.45,0.87,1.25,1.56,1.8,2.01,2.1,,
SAUDI-KAU,Dynamical,,,,,,,,,
SINTEX-F,Dynamical,0.52,0.91,1.21,1.38,1.43,1.46,1.51,1.53,1.51
UKMO,Dynamical,0.55,0.88,1.25,1.58,,,,,
BCC_RZDM,Statistical,0.28,0.32,0.32,0.23,0.19,0.2,0.23,0.17,0.08
CPC CA,Statistical,0.62,0.87,1.04,1.06,1.16,1.27,1.38,1.39,1.29
CPC MRKOV,Statistical,0.02,0.15,0.25,0.37,0.53,0.71,0.87,1.03,1.13
CSU CLIPR,Statistical,0.47,0.69,0.92,1.14,1.32,1.51,1.69,1.56,1.43
IAP-NN,Statistical,0.14,0.25,0.29,0.31,0.3,0.29,0.25,0.17,0.09
NTU CODA,Statistical,0.29,0.39,0.55,0.6,0.61,0.65,0.7,0.62,0.56
UCLA-TCD,Statistical,0.79,1.06,1.22,1.28,1.3,1.29,1.26,1.2,1.09